slurp_id,sentence,intent,entities,slot_string
549,please repeat that music again of akon,music_settings,"[{""span"": [1], ""type"": ""player_setting""}, {""span"": [6], ""type"": ""artist_name""}]",O B-player_setting O O O O B-artist_name
550,what song is playing,music_query,[],O O O O
552,email me the lyrics to this song,music_query,[],O O O O O O O
554,please set the lights off in the living room,iot_hue_lightoff,"[{""span"": [7, 8], ""type"": ""house_place""}]",O O O O O O O B-house_place I-house_place
555,play mf doom anything,play_music,"[{""span"": [1, 2], ""type"": ""artist_name""}]",O B-artist_name I-artist_name O
557,how many alarms are listed,alarm_query,[],O O O O O
558,do i have any alarms set for tomorrow,alarm_query,"[{""span"": [7], ""type"": ""date""}]",O O O O O O O B-date
563,light color change,iot_hue_lightchange,[],O O O
564,change light color,iot_hue_lightchange,[],O O O
566,what's the temperature,query,"[{""span"": [3], ""type"": ""weather_descriptor""}]",O O O B-weather_descriptor
567,how warm is it,weather_query,"[{""span"": [1], ""type"": ""weather_descriptor""}]",O B-weather_descriptor O O
569,how many birthday's are on twenty third,datetime_query,"[{""span"": [2, 3], ""type"": ""event_name""}, {""span"": [6, 7], ""type"": ""date""}]",O O B-event_name I-event_name O O B-date I-date
571,is there christmas on twenty second,datetime_query,"[{""span"": [2], ""type"": ""event_name""}, {""span"": [4, 5], ""type"": ""date""}]",O O B-event_name O B-date I-date
574,repeat same song for ten times,music_settings,"[{""span"": [0], ""type"": ""player_setting""}, {""span"": [2], ""type"": ""media_type""}]",B-player_setting O B-media_type O O O
577,play one through ten on list,play_music,"[{""span"": [1, 2, 3], ""type"": ""playlist_name""}]",O B-playlist_name I-playlist_name I-playlist_name O O
578,please play artist first in queue,play_music,[],O O O O O O
579,turn off one light on porch,iot_hue_lightoff,"[{""span"": [5], ""type"": ""house_place""}]",O O O O O B-house_place
584,is there any chances of rain this week,weather_query,"[{""span"": [5], ""type"": ""weather_descriptor""}, {""span"": [6, 7], ""type"": ""date""}]",O O O O O B-weather_descriptor B-date I-date
586,how latest news,news_query,[],O O O
588,what is new news for today,news_query,"[{""span"": [5], ""type"": ""date""}]",O O O O O B-date
589,what is the time in the eastern time zone,datetime_query,"[{""span"": [6], ""type"": ""time_zone""}]",O O O O O O B-time_zone O O
593,can i hear the fifty hits that you can hear on radios now,play_music,"[{""span"": [4, 5], ""type"": ""music_descriptor""}]",O O O O B-music_descriptor I-music_descriptor O O O O O O O
597,i want to hear my favorite song from iron maiden,play_music,"[{""span"": [8, 9], ""type"": ""artist_name""}]",O O O O O O O O B-artist_name I-artist_name
602,set alarm to begin,alarm_set,[],O O O O
603,change alarm to start at midnight,alarm_set,"[{""span"": [5], ""type"": ""time""}]",O O O O O B-time
604,what will the weather be like a week from now,weather_query,"[{""span"": [7, 8, 9], ""type"": ""time""}]",O O O O O O O B-time I-time I-time
605,on tuesday what is the weather supposed to be,weather_query,"[{""span"": [1], ""type"": ""date""}]",O B-date O O O O O O O
610,i want to wake up at six am tomorrow please,alarm_set,"[{""span"": [6, 7], ""type"": ""time""}, {""span"": [8], ""type"": ""date""}]",O O O O O O B-time I-time B-date O
